Mood,Quote
anxious,"Take a deep breath. You are safe right now."
anxious,"Anxiety is lying to you. You are capable."
anxious,"This feeling is temporary. It will pass."
anxious,"Focus on your breath. Inhale peace, exhale worry."
anxious,"You don't have to control everything. Let go."
anxious,"One step at a time. You don't need to see the whole staircase."
anxious,"It's okay to not be okay right now."
anxious,"You have survived 100% of your bad days."
anxious,"Be gentle with yourself. You are doing the best you can."
anxious,"Ground yourself. Name 5 things you can see."
sad,"It's okay to feel this way. Tears are words the heart needs to express."
sad,"This too shall pass. The sun will rise again."
sad,"You are loved more than you know."
sad,"Be kind to yourself today."
sad,"Healing takes time. Don't rush it."
sad,"Your feelings are valid. Allow yourself to feel them."
sad,"You are not alone in this."
sad,"Every storm runs out of rain."
sad,"Sending you a virtual hug."
sad,"Treat yourself with the same kindness you show others."
overwhelmed,"Focus on one small thing at a time. You got this."
overwhelmed,"It's okay to ask for help."
overwhelmed,"You don't have to do it all today."
overwhelmed,"Breathe. Just breathe."
overwhelmed,"Progress, not perfection."
overwhelmed,"Take a break. You deserve it."
overwhelmed,"Prioritize your peace."
overwhelmed,"Let go of what you can't control."
overwhelmed,"Small steps are still steps."
overwhelmed,"You are enough, just as you are."
lonely,"You are connected to so many people who care, even if it doesn't feel like it right now."
lonely,"Your worthy of love and belonging."
lonely,"Reach out to a friend. They probably miss you too."
lonely,"Solitude is a place to recharge, not to hide."
lonely,"You are your own best company."
lonely,"The world needs your unique light."
lonely,"This feeling of loneliness is not your forever."
lonely,"You are part of something bigger."
lonely,"Sending love your way."
lonely,"Whatever you are going through, you don't have to do it alone."
tired,"Rest is productive. Give yourself permission to pause."
tired,"Listen to your body. It knows what it needs."
tired,"Sleep is the best medicine."
tired,"It's okay to do nothing today."
tired,"Recharge your batteries. You can't pour from an empty cup."
tired,"Be patient with your energy levels."
tired,"Relax, refresh, recharge."
tired,"Tomorrow is a fresh start."
tired,"Take a nap. You earned it."
tired,"Your worth is not measured by your productivity."
stressed,"This stress is temporary. You are stronger than the pressure."
stressed,"Inhale calm, exhale stress."
stressed,"Disconnect to reconnect."
stressed,"Focus on the present moment."
stressed,"You can handle this."
stressed,"Don't sweat the small stuff."
stressed,"Find your calm center."
stressed,"Peace begins with a smile."
stressed,"Let go of the tension in your shoulders."
stressed,"Everything will work out."
